Serial Number / PAK number,Coverage,Covered Line Status,Business Entity,Sub Business Entity,Product Family,Product ID,Product Description,Asset Type,Product Type,Offer Type,Parent Offer Type,PID Mapping Group,Item Quantity,Covered Line Start Date,Covered Line End Date,Covered Line End Date FY,Covered Line End Date FY-FQ,Contract Type,Contract Number,Ship Date,Ship Date FY,Ship Date FY-FQ,End of Product Sale Date,Last Renewal Date,End of Software Maintenance Date,Last Date of Support,LDOS FY,LDOS FY-FQ,Migration PID Flag,Install Site GU Name,Install Site GU ID,Install Site CR Parent Party Name,Install Site CR Parent Party ID,Install Site CR Party Name,Install Site CR Party ID,Install Site Name,Install Site ID,Install Site Address 1,Install Site City,Install Site State,Major/Minor,Configuration
SSI1609058X,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N5000,N5K-C5548UP-FA,"Nexus 5548 UP Chassis, 32 10GbE Ports, 2 PS, 2 Fans",Hardware,CHASSIS,Others,Others,,1,5/11/17,3/31/18,2018,2018 Q3,SNT,92058507,5/3/12,2012,2012 Q4,5/5/19,8/3/23,5/4/20,5/31/24,2024,2024 Q4,Y,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,ENTERGY SERVICES INC,402488772,700 LOUISIANA ST,LITTLE ROCK,AR,Major,112646
SSI1609059D,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N5000,N5K-C5548UP-FA,"Nexus 5548 UP Chassis, 32 10GbE Ports, 2 PS, 2 Fans",Hardware,CHASSIS,Others,Others,,1,5/11/17,3/31/18,2018,2018 Q3,SNT,92058507,5/3/12,2012,2012 Q4,5/5/19,8/3/23,5/4/20,5/31/24,2024,2024 Q4,Y,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,ENTERGY SERVICES INC,402488772,700 LOUISIANA ST,LITTLE ROCK,AR,Major,112645
SSI16150CPB,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N5000,N5K-C5548UP-BUN,Nexus 5548UP in N5548UP-N2K Bundle,Hardware,CHASSIS,Others,Others,,1,9/25/17,3/31/18,2018,2018 Q3,SNT,92058507,7/17/12,2012,2012 Q4,5/5/19,8/3/23,5/4/20,5/31/24,2024,2024 Q4,N,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,ENTERGY SERVICES INC,402488772,700 LOUISIANA ST,LITTLE ROCK,AR,Major,114123
SSI16150GMX,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N5000,N5K-C5548UP-BUN,Nexus 5548UP in N5548UP-N2K Bundle,Hardware,CHASSIS,Others,Others,,1,9/25/17,3/31/18,2018,2018 Q3,SNT,92058507,7/17/12,2012,2012 Q4,5/5/19,8/3/23,5/4/20,5/31/24,2024,2024 Q4,N,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,ENTERGY SERVICES INC,402488772,700 LOUISIANA ST,LITTLE ROCK,AR,Major,113808
SSI16150GPP,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N5000,N5K-C5548UP-BUN,Nexus 5548UP in N5548UP-N2K Bundle,Hardware,CHASSIS,Others,Others,,1,4/1/18,3/31/19,2019,2019 Q3,SNT,92058507,7/17/12,2012,2012 Q4,5/5/19,8/3/23,5/4/20,5/31/24,2024,2024 Q4,N,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,ENTERGY SERVICES INC,402488772,700 LOUISIANA ST,LITTLE ROCK,AR,Major,113943
SSI16150GRR,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N5000,N5K-C5548UP-BUN,Nexus 5548UP in N5548UP-N2K Bundle,Hardware,CHASSIS,Others,Others,,1,4/1/24,5/31/24,2024,2024 Q4,SNT,205483789,7/17/12,2012,2012 Q4,5/5/19,8/3/23,5/4/20,5/31/24,2024,2024 Q4,N,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,"Entergy Services, Inc.",2000262575,700 LOUISIANA ST,LITTLE ROCK,AR,Major,114239
SSI16150JFM,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N5000,N5K-C5548UP-BUN,Nexus 5548UP in N5548UP-N2K Bundle,Hardware,CHASSIS,Others,Others,,1,4/1/24,5/31/24,2024,2024 Q4,SNT,205483789,7/17/12,2012,2012 Q4,5/5/19,8/3/23,5/4/20,5/31/24,2024,2024 Q4,N,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,"Entergy Services, Inc.",2000262575,700 LOUISIANA ST,LITTLE ROCK,AR,Major,114007
SSI16160A3L,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N2000,N2K-C2248TP-BUN,Nexus 2248TP for N5K/N2K Bundle,Hardware,CHASSIS,Others,Others,,1,4/30/21,11/30/21,2022,2022 Q2,SNT,92058507,7/17/12,2012,2012 Q4,11/2/16,1/31/21,11/2/17,11/30/21,2022,2022 Q2,Y,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,ENTERGY SERVICES INC,402488772,700 LOUISIANA ST,LITTLE ROCK,AR,Major,114299
SSI16160A3N,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N2000,N2K-C2248TP-BUN,Nexus 2248TP for N5K/N2K Bundle,Hardware,CHASSIS,Others,Others,,1,4/30/21,11/30/21,2022,2022 Q2,SNT,92058507,7/17/12,2012,2012 Q4,11/2/16,1/31/21,11/2/17,11/30/21,2022,2022 Q2,Y,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,ENTERGY SERVICES INC,402488772,700 LOUISIANA ST,LITTLE ROCK,AR,Major,114298
SSI161708EW,NOT COVERED,EXPIRED,Data Center Networking,NX2/4/5/6K,N5000,N5K-C5548UP-BUN,Nexus 5548UP in N5548UP-N2K Bundle,Hardware,CHASSIS,Others,Others,,1,4/1/18,3/31/19,2019,2019 Q3,SNT,92058507,7/17/12,2012,2012 Q4,5/5/19,8/3/23,5/4/20,5/31/24,2024,2024 Q4,N,ENTERGY CORPORATION,181149,ENTERGY SERVICES INC,26853,ENTERGY SERVICES INC,177639549,ENTERGY SERVICES INC,402488772,700 LOUISIANA ST,LITTLE ROCK,AR,Major,113887
